Iteration,Measures,value
750,Perplexity,1150.8959524821203
760,Perplexity,1149.8773237618161
770,Perplexity,1148.285452314588
780,Perplexity,1147.4483568368828
790,Perplexity,1147.0598546604954
800,Perplexity,1141.8795492425302
810,Perplexity,1144.5363377054214
820,Perplexity,1143.2917340624265
830,Perplexity,1146.0744953731478
840,Perplexity,1142.268604872595
850,Perplexity,1140.137341496473
860,Perplexity,1137.8636842820574
870,Perplexity,1140.3031505244674
880,Perplexity,1135.5770236914966
890,Perplexity,1134.5830642706464
900,Perplexity,1135.2641996481264
910,Perplexity,1133.988601825149
920,Perplexity,1129.1550711268599
930,Perplexity,1129.2012960272853
940,Perplexity,1128.991773834839
950,Perplexity,1130.0183401281768
960,Perplexity,1125.5297527381204
970,Perplexity,1128.1865406197014
980,Perplexity,1127.8234142722679
990,Perplexity,1128.436027307208
1000,Perplexity,1124.4924155323295
