doc_id,title,date,address,Categories,Economic Cooperation,Belt and Road Initiative (BRI),Diplomatic Relations,Technology and Innovation,Cultural Exchange,Geopolitical Strategy,Trade Agreements,Infrastructure Development,Other_1,Other_2,Other_3
767,Kingdom Imposes Import Ban on Poultry Products from Five Countries,4-Jan-17,https://saudiembassy.net/news/kingdom-imposes-import-ban-poultry-products-five-countries,News,8.962737849211862e-4,0.18247855354296652,0.004406714405614169,8.714138048489242e-4,0.33817976970258484,0.1315401269624852,0.0010773838243748775,0.002054453536042374,0.0013783965444723139,0.3361302966057647,9.86617285924884e-4
768,World's largest date festival opens in Buraidah,6-Aug-15,https://saudiembassy.net/news/worlds-largest-date-festival-opens-buraidah,News,0.0385635289189111,0.3804434635989325,0.0032374567298637347,0.11435540190883837,0.21054361029702384,0.0018751935041612143,0.01974404985554944,0.153129607594429,0.0010126590376806743,0.07637019583841495,7.248327161951033e-4
769,Royal Court: King's Efforts on Al-Aqsa are Culminated With Success,27-Jul-17,https://saudiembassy.net/news/royal-court-kings-efforts-al-aqsa-are-culminated-success,News,2.52190454093218e-4,5.334348434810031e-4,0.17545168394598515,2.451954378731202e-4,0.10241469008835506,0.5741651692498522,0.10918548664601427,0.03687218713643584,3.8784850825639535e-4,2.1450269004662353e-4,2.77610999607106e-4
770,"Kingdom, UAE, Bahrain, Egypt Add 9 Entities, 9 Individuals to Lists of Terrorist Groups",25-Jul-17,https://saudiembassy.net/news/kingdom-uae-bahrain-egypt-add-9-entities-9-individuals-lists-terrorist-groups,News,0.7498699913295819,2.527408732015368e-4,5.874852355702651e-4,1.1617334306226755e-4,3.7485856597427124e-4,0.0863208444334035,1.4363242806388621e-4,0.05874067378967796,1.8376221921867337e-4,1.0163115111244679e-4,0.10330820663113327
771,KSrelief Provides Yemen $615 million in Assistance,23-Jul-17,https://saudiembassy.net/news/ksrelief-provides-yemen-615-million-assistance,News,6.584605512662284e-4,0.11510798502541844,0.0032374567298637347,6.401968059037681e-4,0.741214567444052,0.0018751935041612143,7.915156717270066e-4,0.13417707341060656,0.0010126590376806743,5.600591031252162e-4,7.248327161951033e-4
772,Crown Prince Meets Russian President Envoy,20-Jul-17,https://saudiembassy.net/news/crown-prince-meets-russian-president-envoy,News,9.714574061284295e-4,0.002054832849442559,0.9834307301996714,9.445120550942834e-4,0.0030476736330836566,0.002766559992148712,0.0011677597995616725,0.0022267906712351367,0.0014940228691696189,8.262811835187034e-4,0.0010693793409458482
773,Kingdom Expresses Support for Kuwait???€?™s Against Iranian Diplomatic Mission,20-Jul-17,https://saudiembassy.net/news/kingdom-expresses-support-kuwait%E2%80%99s-against-iranian-diplomatic-mission,News,9.450328206894406e-4,0.0019989393991992474,0.004646448233534526,9.188204093869734e-4,0.0029647739487541863,0.49230879797478266,0.0011359955982687808,0.0021662198011428483,0.32786504473052047,8.038055324064895e-4,0.16424612155131435
774,KSrelief Continues Repatriating Stranded Somalis in Yemen to Somalia,19-Jul-17,https://saudiembassy.net/news/ksrelief-continues-repatriating-stranded-somalis-yemen-somalia,News,0.001029002417705371,0.0021765524218745587,0.005059302027798134,0.0010004609384957402,0.8325287557765336,0.1510198233473616,0.0012369329313541122,0.002358696294834562,0.0015825224397737624,8.752265721393823e-4,0.0011327248321291595
775,Crown Prince Discusses Terrorism With Iraqi Minister of Interior,19-Jul-17,https://saudiembassy.net/news/crown-prince-discusses-terrorism-iraqi-minister-interior,News,0.00085229933971603855,0.001802788953749752,0.9854631014995525,8.286590805034967e-4,0.0026738488056817387,0.002427216303790709,0.0010245234632363985,0.001953654588257505,0.0013107674066623837,7.249302982200698e-4,9.382102606294042e-4
776,King Salman Receives Sudanese President,18-Jul-17,https://saudiembassy.net/news/king-salman-receives-sudanese-president,News,6.12060184954594e-4,0.0012946335742015217,0.9895606433441396,5.950834483178817e-4,0.0019201662118985545,0.0017430524589141497,7.357391836155977e-4,0.0014029744397369478,9.412990295422787e-4,5.205928853066965e-4,6.737552393721806e-4
777,KSrelief Continues Distributing Food Baskets and Medical Supplies in Yemen,18-Jul-17,https://saudiembassy.net/news/ksrelief-continues-distributing-food-baskets-and-medical-supplies-yemen,News,4.84127231194206e-4,0.0010240289812932996,0.0023803111055414952,4.706989757633215e-4,0.9769465002494302,0.0013787192526221292,5.819548184976763e-4,0.015044405666830072,7.445485004581756e-4,4.1177844652912863e-4,5.329267718403238e-4
778,Kingdom Continues Efforts to Lift Sanction on Sudan,18-Jul-17,https://saudiembassy.net/news/kingdom-continues-efforts-lift-sanction-sudan,News,0.25262989878955877,5.619905717547485e-4,0.33779193362797066,2.583211914369033e-4,8.335295243324533e-4,0.17664685145708567,3.193787745830079e-4,0.23003102790346475,4.08610737699215e-4,2.2598540551940267e-4,2.924720165943956e-4
779,King Salman Chairs Cabinet's Session,17-Jul-17,https://saudiembassy.net/news/king-salman-chairs-cabinets-session-5,News,2.3198334340607184e-4,4.906926351553193e-4,0.19477936973314494,2.255488125839093e-4,7.277823140295332e-4,0.1942994284867181,0.32078442034649907,0.0339177518885905,0.2540903400436563,1.973153638409276e-4,2.5536703237527515e-4
780,"Foreign Ministers of Saudi Arabia, UAE, Bahrain, Egypt and Kuwait meet with US Secretary of State",12-Jul-17,https://saudiembassy.net/news/foreign-ministers-saudi-arabia-uae-bahrain-egypt-and-kuwait-meet-us-secretary-state,News,5.052486686450201e-4,0.00106870517937217,0.7877857277123449,4.912345670999699e-4,0.0015850752033656108,0.001438869829950034,0.20420404726500327,0.0011581393223162727,7.770315618689815e-4,4.2974346097482397e-4,5.561772290590261e-4
781,Crown Prince Meets with US Secretary of State,12-Jul-17,https://saudiembassy.net/news/crown-prince-meets-us-secretary-state-0,News,6.230362062746882e-4,0.0013178501239158279,0.9355746998474933,6.057550273170235e-4,0.001954600383239869,0.055573045899311044,7.489331295116089e-4,0.0014281338566384777,9.581792620272696e-4,5.29928631608573e-4,6.858376326623483e-4
