doc_id,title,date,address,Categories,content
777,KSrelief Continues Distributing Food Baskets and Medical Supplies in Yemen,18-Jul-17,https://saudiembassy.net/news/ksrelief-continues-distributing-food-baskets-and-medical-supplies-yemen,News,"During Ramadan, KSrelief provided $75 million and 550 tons of medical supplies to prevention and eradicate cholera in Yemen. This comes as part of more than 133 relief projects implemented by the Riyadh-based Center. Also noteworthy that during the holy month of Ramadan, the Center provided 550 tons of medicines and medical supplies for cholera control. The Center also distributed 45 tons of medicines, medical supplies and equipment to government hospitals in Aden, Taiz, Marib, Jouf and Sayoun. The King Salman Center for Relief and Humanitarian Aid (KSrelief) in Yemen continues distributing 17,174 food baskets in the governorate of Al-Baida, as well as 20,900 food baskets in the governorate of Maareb; benefiting 10,3044 people."
778,Kingdom Continues Efforts to Lift Sanction on Sudan,18-Jul-17,https://saudiembassy.net/news/kingdom-continues-efforts-lift-sanction-sudan,News,"Al-Jubeir added that the Kingdom is working with Sudan to improve Sudan's relations with the United States, lift sanctions imposed on Sudan and lift Sudan from the list of state sponsors of terrorism. In this regard he said, ""We believe that Sudan has achieved significant progress to reach lifting these sanctions and lift the name of Sudan from the list of state sponsors of terrorism, and we continue in our efforts to coordinate with Sudan and others in the region to find a solution to this situation, so that Sudan can return to its normal state and focus on development, economy and prosperity.???Ä?Speaking at a joint press conference with Sudanese Foreign Minister Ibrahim Ghandour, Minister Al-Jubeir said, ""The two countries are also key partners in the Islamic alliance to confront terrorism and extremism, and partners in the coalition to support legitimacy in Yemen, and the two countries are partners in working to counter terrorism and extremism ..."" Minister of Foreign Affairs Adel bin Ahmed Al-Jubeir said that the talks between the Custodian of the Two Holy Mosques King Salman bin Abdulaziz and Crown Prince Mohammed bin Salman and Sudanese President Omar Hassan Al-Bashir dealt with issues of the region, bilateral relations and confronting the scourge of terrorism and extremism."
779,King Salman Chairs Cabinet's Session,17-Jul-17,https://saudiembassy.net/news/king-salman-chairs-cabinets-session-5,News,"The Cabinet reiterated the Kingdom's condemnation of the terrorist attack on a security outpost in Giza, Egypt; and the two terrorist bombings targeting two cities in Pakistan and?Ç?? extended condolences to the two friendly countries, wishing the injured a speedy recovery. The Cabinet expressed its deep concern at the closure of Al-Aqsa Mosque by the Israeli occupation authorities, stressing that such an act is a dangerous development that would further complicate the situation in the occupied Palestinian territories. The Cabinet called on the international community to shoulder its responsibilities towards halting such practices. The Cabinet was then briefed on reports on latest developments, including the joint statement issued by Saudi Arabia, Egypt, the UAE and Bahrain, confirmation the continuing of current procedures until the Qatari authorities are committed to all demands. King Salman them briefed the Cabinet on his phone call with President Donald Trump in which he appreciated the role played by the US in its leadership of the Global Coalition Against ISIS (Daesh).?Ç?? King Salman also briefed the Cabinet on his phone call with Iraqi Prime Minister Dr. Haider Al-Abbadi during which he congratulated Iraq on the victory over Daesh; and his meeting with US Secretary of State Rex Tillerson. King Salman began the meeting by expressed his appreciation to the leaders of friendly countries and Saudi citizens for their condolences on the death of Prince Abdulrahman bin Abdulaziz. The Custodian of the Two Holy Mosques King Salman bin Abdulaziz chaired the Cabinet's weekly session at Al-Salam Palace in Jeddah this afternoon."
780,"Foreign Ministers of Saudi Arabia, UAE, Bahrain, Egypt and Kuwait meet with US Secretary of State",12-Jul-17,https://saudiembassy.net/news/foreign-ministers-saudi-arabia-uae-bahrain-egypt-and-kuwait-meet-us-secretary-state,News,"Saudi Arabia's Minister of Foreign Affairs Adel bin Ahmed Al-Jubeir, Egypt's Minister of Foreign Affairs Sameh Shukri, Bahrain's Minister of Foreign Affairs Sheikh Khalid bin Ahmed bin Mohammed Al Khalifa, UAE's Minister of State for Foreign Affairs Dr. Anwar bin Mohammed Gargash and Kuwait's Minister of State for Cabinet Affairs Sheikh Mohammed Abdullah Al-Mubarak Al-Sabah met in Jeddah today with US Secretary of State Rex Tillerson.?Ç?? During the meeting, they discussed all aspects of the crisis with the State of Qatar."
781,Crown Prince Meets with US Secretary of State,12-Jul-17,https://saudiembassy.net/news/crown-prince-meets-us-secretary-state-0,News,"Crown Prince Mohammed bin Salman, Deputy Prime Minister and Minister of Defense, met in Jeddah today with US Secretary of State Rex Tillerson.?Ç?? During the meeting, they discussed means of enhancing bilateral relations as well as the developments in the Middle East and joint efforts in the fight against terrorism and extremism.?Ç?? The meeting was also attended by Prince Khalid bin Salman bin Abdulaziz, Saudi Ambassador-designate to the US; and Minister of Foreign Affairs Adel bin Ahmed Al-Jubeir."
782,"King, Crown Prince Offers Condolences to Egyptian President on Sinai Terror Victims",8-Jul-17,https://saudiembassy.net/news/king-crown-prince-offers-condolences-egyptian-president-sinai-terror-victims,News,"Crown Prince Mohammed bin Salman sent a similar cable to President Al-Sissi. In his cable, King Salman expressed utmost sorrow on hearing the twin bombings in northern Sinai and extended condolences to the president and strongly expressed denouncing and disapproving of the two heinous and criminal acts, affirming the Kingdom stance besides Egypt and its fraternal people against all those who are trying to affect its security and stability. The Custodian of the Two Holy Mosques King Salman bin Abdulaziz sent a condolence and consolation cable to Egyptian President Abdulfattah Al-Sissi on Sinai terror victims."
783,"In a Joint Press Conference, Foreign Ministers of Saudi Arabia, Egypt, UAE, Bahrain Condemn Qatar's Support for Terrorism, Extremist Groups",5-Jul-17,https://saudiembassy.net/news/joint-press-conference-foreign-ministers-saudi-arabia-egypt-uae-bahrain-condemn-qatars-support,News,"He made these remarks during a joint press conference held here today, indicating that despite the four countries' patience, Qatar had not shown any interest in its brothers or surroundings.?Ç?? ???Ä?úDoha has no interest in its brethren, nor its surroundings. It is interested in extremism, instigation, subversion and terrorism,"" Sheikh Al-Nahyan added.?Ç?? He noted that the goal of all countries of the world is to provide better opportunities to their respective peoples to grow, prosper and lead a stable and secure life. He regretted the fact that for the past two decades, Doha took the path of destruction and chaos. For his part, Sheikh Abdullah bin Zayed Al-Nahyan, Minister of Foreign Affairs and International Cooperation said that the current state of separation from Qatar will continue until it changes its course. The foreign minister raised what he termed as some sort of tolerance for extremists in Europe where they are free to work under the pretext of freedom of opinion. He expressed belief that some European countries started to be aware that some terrorists and extremists are practicing hatred address which directly leads to violence. He concluded that such policies should be reconsidered. Minister Al-Jubeir said it is impossible to give room for a non-tolerance policy. He explained that we don't accept that Qatar, a GCC and Arab League ally, to host an air base from which aircraft fly to attack Daesh (ISIS) and at the same time it harbors and finances terror groups and networks and ignores those who recruit terror-prospect youths.?Ç?? He denied taking the announced measures to harm Qatar. Instead, we want to help it as this goes in the benefit of Qatar, the region, and the world. He said that Saudi Arabia is on the world's anti-terror front platform, recalling that it has hosted an international terror combat conference in which more than 50 countries took part, issuing a recommendation to establish an international center for combating terrorism under the umbrella of the United Nations. He disclosed that terrorists who started their attacks against the Kingdom of Saudi Arabia long ago, were aiming at controlling Makkah and Al-Madinah, Muslims two major holy cities, to address Muslims of the world from there. He urged everybody ""to help us in this war"". The minister stated that Saudi Arabia has adopted a new approach to address the issue of terrorism intellectually, citing changes in education, media and information, public dialogue and rehabilitation programs, cultural programs and establishing anti-terror and extremism centers abroad.?Ç?? He stressed the need for an international cooperation, in terms of money and mentality, to fight the phenomenon as imperative conditions for success. Minister Al-Jubeir lauded the determination and will of the four countries in their fight against terrorism, citing that the Kingdom of Saudi Arabia has succeeded in overturning the situation from the defensive to the offensive and pre-emptive. Also we have built successful relations with some countries of the world, enabling the Kingdom to unveil several terror plots against foreign countries.?Ç?? Minister Al-Jubeir cited the cargo plane bomb plot.?Ç?? He said the Kingdom of Saudi Arabia have imposed a money-laundering monitor system which helped discover terror-oriented bank transactions, barred charities from sending money abroad, enacted terror money transfers, and indicted many terrorists who took part in terrorist acts abroad. Some of them were imprisoned for terror and extremism financial support accusations, the minister of foreign affairs said. Those who want to organize terrorism, spread hatred and interfere in the affairs of others, these things are rejected by the international community and not only the Arab quartet, which have taken these actions because they have suffered for many policies carried out by Qatar, he added. On the Turkish position, he said that Ankara told us that it is neutral, and we hope that it will continue to be neutral, pointing that the crisis is related to the Gulf Cooperation Council member states. For any country dealing with Iran, the result is very negative, he asserted, as there is no interest in dealing with Iran, indicating that Iran is a fringe state and is considered almost out of international law and an isolated country in the world, so it is not surprising that Iran is trying to get closer to Qatar, Foreign Minister Al-Jubeir commented. On the situation of the support of both Turkey and Iran to Qatar, which finances and harbor terrorism.?Ç?? Minister Al-Jubeir said that Iran is the first state sponsoring terrorism in the world, for it supports any state sponsoring terrorism in the world. As for the coming procedures, there is continuous consultation, he indicated, and we have the sovereign right to take any action that is consistent with international law.?Ç?? ???Ä?úWe will consider these matters and consult before announcing them,???Ä?he stressed. Al-Jubeir pointed out that there is political and economic boycott, and it will continue until Qatar changes its policies for the better. This is not only the requirement of the four countries, but it is the demand from the international community, as a whole,"" he laid emphasis. In response to a question on the existence of economic measures to be taken after the rejection of the requests of the four countries, he said that the joint statement of the four countries is clear, and this statement coincided with the response we received from Kuwait, but is not a response to it, adding that Saudi Arabia and the three sister countries have taken action against Qatar. ???Ä?úWe have the sovereign right to make decisions consistent with international law,???Ä?Minister Al-Jubeir said.?Ç?? He said the measures taken by Bahrain, Egypt, Saudi Arabia, and the UAE against Doha is because of its support for terrorism and interference in the affairs of the region and spreading hatred.?Ç?? The minister stressed the need to stop such efforts by Qatar. Saudi Minister of Foreign Adel bin Ahmed Al-Jubeir said that the boycott of the State of Qatar will continue until Doha adjusts its position.?Ç?? He added that additional steps will be taken in time after consultation with Egypt, Bahrain and the UAE. Foreign ministers of Saudi Arabia, Egypt, the United Arab Emirates and the Kingdom of Bahrain affirmed, in a joint press conference held at the Liberation Palace in Cairo today the necessity of combating terrorism and drying up its sources, stressing that countries that support extremism and terrorism will not be tolerated."
784,"KSrelief Distributes 50,000 Food Baskets in Hadramout",4-Jul-17,https://saudiembassy.net/news/ksrelief-distributes-50000-food-baskets-hadramout,News,"The King Salman Center for Relief and Humanitarian Aid (KSrelief) launched last Sunday the distribution of 50,000 food baskets in 16 districts in Hadramout Governorate to benefit 300,000 people.?Ç?? This assistance comes within multiple projects being carried out by the Center in Yemen."
785,KSrelief Distributes Relief Aid in Yemeni Governorates,4-Jul-17,https://saudiembassy.net/news/ksrelief-distributes-relief-aid-yemeni-governorates,News,"
The assistance provided included 650 tents, 17,700 blankets and 2,950 carpets and rugs.?Ç?? This assistance comes within multiple projects being carried out by the Center in Yemen. The King Salman Center for Relief and Humanitarian Aid (KSrelief) distributed various relief aid in the Yemeni governorates of Aden, Lahj and Hadramout."
786,Saudi Foreign Minister: Demands on Qatar to Stop Funding Terrorism are Non-Negotiable,27-Jun-17,https://saudiembassy.net/news/saudi-foreign-minister-demands-qatar-stop-funding-terrorism-are-non-negotiable,News,"???Ä?é???Ä?úIt was an issue that has been building up, and then a decision was made that enough is enough. ???Ä?éZero tolerance,???Ä?he said. ???Ä?The Foreign Minister reiterated that the decision to cut off diplomatic ties with Qatar was made ???Ä?éafter taking into account the history of its behavior, including harboring known terrorists and ???Ä?éfunding extremist groups throughout the region.???Ä????Ä?é???Ä?úIt???Ä?ôs very simple. We made our point. We took our steps. And it???Ä?ôs up to [Qatar] to amend [its] ???Ä?ébehavior. And once they do, then things will be worked out. But if they don???Ä?ôt, they will remain ???Ä?éisolated,???Ä?said Minister Al-Jubeir. ???Ä?úIf Qatar wants to come back into the GCC pool, they know ???Ä?éwhat they have to do.???Ä????Ä?Minister Al-Jubeir said that Saudi Arabia has expressed its grievances and it is now up to Qatar ???Ä?éto make amends, and he said Saudi Arabia???Ä?ôs demands are non-negotiable. Specifically, Saudi ???Ä?éArabia has demanded that Qatar end its practice of harboring known terrorists, prohibit funding ???Ä?éfrom within its borders to Al-Qaeda and Daesh (ISIS), and shut down its news network, Al-???Ä?éJazeera, which has been inciting violence throughout the region. ???Ä????Ä?é???Ä?úWe hope that reason will prevail and that our brothers in Qatar will do the right thing and ???Ä?érespond to the demands of the international community to cease these activities. Because we ???Ä?éthink we can???Ä?ôt be on both sides of this issue. You cannot fight against ISIS, you cannot commit ???Ä?éto participate in the global center against extremism, you cannot commit to participate in a ???Ä?éfinancial center to combat terror financing and at the same time allow these things to go on,???Ä?he ???Ä?ésaid.???Ä????Ä?é???Ä?úThis idea that you can fund extremist groups, that you can pay ransom to terrorist groups like ???Ä?éAl-Qaeda and ISIS, that you can send $300 million to the Shi???Ä?ôite militias in Iraq with most of it ???Ä?éending up with the Quds Force in Iran, is not acceptable,???Ä?he said in a press briefing at the Saudi ???Ä?éEmbassy in Washington today. ???Ä?úI think most countries in the world would agree with the ???Ä?édemand to stop this.???Ä????Ä?(WASHINGTON, DC) ???Ä?Saudi Foreign Minister Adel bin Ahmed Al-Jubeir called on ???Ä?éQatar today to end its support for terrorism and extremism in the Middle East. ???Ä?"
