Iteration,Measures,value
720,Perplexity,1215.2516708384671
730,Perplexity,1209.9462270852532
740,Perplexity,1210.7849289487372
750,Perplexity,1210.6875278600398
760,Perplexity,1211.7470672035888
770,Perplexity,1208.8313944602705
780,Perplexity,1209.4359336121722
790,Perplexity,1209.7002541312575
800,Perplexity,1208.9677121475893
810,Perplexity,1208.5884528114107
820,Perplexity,1207.3340749203749
830,Perplexity,1204.369228787675
840,Perplexity,1206.5239428328653
850,Perplexity,1201.2219989906043
860,Perplexity,1202.347867074961
870,Perplexity,1203.28951893477
880,Perplexity,1201.153341165994
890,Perplexity,1200.6585316244684
900,Perplexity,1196.5133516029248
910,Perplexity,1199.8687436414814
920,Perplexity,1195.3107177065378
930,Perplexity,1197.7696179697873
940,Perplexity,1201.2788236816589
950,Perplexity,1203.6435781771315
960,Perplexity,1198.8323147578576
970,Perplexity,1197.884798073615
980,Perplexity,1200.6659715143996
990,Perplexity,1197.3927285057773
1000,Perplexity,1198.193923143122
