Topic,last_iteration,estimated_pi
1_Economic Cooperation,1,0.06356914555239238
2_Belt and Road Initiative (BRI),2,0.022687596947647905
3_Diplomatic Relations,3,0.08919480326360527
4_Technology and Innovation,4,0.02267984329210552
5_Cultural Exchange,5,0.014640434541650175
6_Geopolitical Strategy,6,0.02671927815347321
7_Trade Agreements,7,0.007634912903188596
8_Infrastructure Development,8,0.00670814713243168
