Topic,Lower,Point,Upper
1_Economic Cooperation,0.06356914555239238,0.0739601167943079,0.08213490971378633
2_Belt and Road Initiative (BRI),0.022687596947647905,0.030670954319009073,0.037695809643298064
3_Diplomatic Relations,0.08919480326360527,0.09350034023514059,0.10554014456181815
4_Technology and Innovation,0.02267984329210552,0.03184912363888265,0.037580951909472804
5_Cultural Exchange,0.014640434541650175,0.01888972040920943,0.023084892240092074
6_Geopolitical Strategy,0.02671927815347321,0.036829974792688784,0.04171040154885514
7_Trade Agreements,0.007634912903188596,0.010583707683667006,0.012570536499551446
8_Infrastructure Development,0.00670814713243168,0.008103758683200925,0.009520342803219544
