Topic,Lower,Point,Upper
1_Economic Cooperation,0.02303901167207334,0.024286414236041515,0.027074807148907545
2_Belt and Road Initiative (BRI),4.197673621313728e-4,0.00921868681051096,0.01720005710270301
3_Diplomatic Relations,0.057107877734124984,0.0872008743539507,0.11745310046638022
4_Technology and Innovation,0.0030909789882579424,0.0033308579099605865,0.0034483316551684007
5_Cultural Exchange,0.0351946077709509,0.05392549006655651,0.0672548450980774
6_Geopolitical Strategy,0.010108533081590458,0.01669353999281076,0.02197222909017509
7_Trade Agreements,0.01107158612840003,0.01168788001582851,0.012478189355116718
8_Infrastructure Development,0.019180958302337726,0.02130843880748009,0.0240759805272223
