Categories,Economic Cooperation,Belt and Road Initiative (BRI),Diplomatic Relations,Technology and Innovation,Cultural Exchange,Geopolitical Strategy,Trade Agreements,Infrastructure Development,Other_1,Other_2,Other_3,n_docs
News,0.05335860613810294,0.04254438106698848,0.008877598316429642,0.31696326131426966,0.03148151307645778,0.08618625795710812,0.08678872005087793,0.08493065565156449,0.1177852905638693,0.14259049063031923,0.02849322523401243,1123
Press Releases,0.14227965918988486,0.1495728703399429,0.019294944778877547,0.16311116496282657,0.021177026635176475,0.13902429320533133,0.011130072665305836,0.10994368886666515,0.06133844372210867,0.11496951125257711,0.06815832438130358,625
newsletters,0.2379905836867461,0.2209874096584871,0.030091137890164252,0.15035381696712496,0.003790857258738808,0.10911410094399575,0.009195212833732364,0.1168486847760975,0.041672030203321074,0.042769164680565526,0.03718700110102658,11
reports,0.20321939358058244,0.30416410428942353,0.0040355627699601776,0.05340293461123297,0.0049605460855010755,0.20211263103257657,0.004071578651836707,0.15495569706860865,0.01153644798032798,0.01623041593802466,0.04131068799192525,12
statements,0.10876944268504925,0.12397926152705306,0.05781173868904015,0.053339294368722576,0.11325978541564251,0.22146418052094247,0.03667240285178081,0.08725158230583899,0.033060283993698925,0.04746513485422376,0.11692689278800752,100
