topic_prob_col_0,topic_prob_col_1,topic_prob_col_2,topic_prob_col_3,topic_prob_col_4,topic_prob_col_5,topic_prob_col_6,topic_prob_col_7
0.06664741832908824,0.013413310522925683,0.0054317109485255335,0.003685206636254212,0.005409863336913744,0.0016666614949282,0.0018433466708376296,0.000832763055656575
1.0,3.170844548758578e-307,1.5100136241632961e-307,1.4479643040935826e-307,1.126442926292835e-307,4.249276801867029e-308,4.841180458345737e-308,3.197034066574527e-308
1.0,1.949377877084077e-307,1.8889925663434083e-307,1.0728604694123692e-307,1.4829255982645024e-307,8.450839789138626e-308,3.9309270586010086e-308,2.3036696136712726e-308
0.6437758349575281,0.2195795870969357,0.03530614144986483,0.03293612049768896,0.038119017575678704,0.008859057516219456,0.013572523699887025,0.007851717206197198
0.6136221846967022,0.12239752734401986,0.02403343393892204,0.022225723099291203,0.026253058012498803,0.006497204587041237,0.010079916782946025,0.005272704896102612
0.542854167588638,0.053961675478616106,0.03828898257424187,0.028967483947259447,0.083473196040788,0.0230286357517194,0.011902493475537733,0.006340622772150636
0.2641876932531201,0.046068658956282274,0.01666878385831204,0.013501146885651634,0.015549557517381588,0.00436261650897569,0.011466387445819855,0.0032121226366208363
0.06717935522943112,0.016167674337928494,0.0063820958296892105,0.004478487794852654,0.005805676091884976,0.0018391308099901592,0.0019255922799217545,0.0010041407021501268
1.0,6.6051372294751616e-307,1.2378386601860322e-307,1.1546116902502035e-307,1.3220725935653478e-307,3.2092179541787247e-308,5.094479057590073e-308,2.756718445147162e-308
1.0,5.703360014961044e-307,1.2476857231609012e-307,1.1488933971447886e-307,1.3050845832030264e-307,3.335127259131135e-308,5.495528283624742e-308,2.73632703811685e-308
0.5155719202358371,0.06666350044958011,0.043096805819147724,0.056993966877344614,0.022885237206895753,0.014435737978696909,0.008139581366613684,0.011246454246500127
0.23934809541610622,0.30692598793285286,0.05025696485533803,0.025471885177940114,0.03138018733359753,0.007509551327741968,0.011177467117540767,0.005699805050451939
0.41920519448695526,0.047622011337527914,0.03190177594191294,0.02383628769667925,0.04439933975918939,0.016136401013934758,0.009372629313274865,0.005177412059869912
0.1854660518439188,0.3885788805461864,0.04043806433051334,0.020042256991046573,0.024119168413388896,0.005918958453930381,0.008725534142810087,0.004481029489774853
0.3310493126109342,0.04094089693131102,0.02691482479832783,0.01893668203726222,0.047851182807402894,0.0159523571599123,0.007351535364592572,0.004116456034002171
0.31299141309587974,0.056242228579543495,0.025150124169832203,0.025607233685037426,0.019067652368418453,0.00740612961528731,0.007730718289123122,0.0056079916537245915
0.2777638443338239,0.0406274965485114,0.02405611368446251,0.07146258975791406,0.013137567324198905,0.007671058941152746,0.005133768553081831,0.012386113008657532
0.3101774138817553,0.04833960299301302,0.021369807122382067,0.020786539447030333,0.02210423369534703,0.00879817505219218,0.00682552993429004,0.004556945351354709
0.3540034547368249,0.04776313902212602,0.022304517107061942,0.021053669028679025,0.023477904439377608,0.009928414314197918,0.006449861983374738,0.004564785768442736
0.4811939817719164,0.05687072295598274,0.036879780831937194,0.04715665854845391,0.019358175864173162,0.01187642199216663,0.00680699000638043,0.009243359759844085
1.0,1.822720760968631e-307,1.2182034827929073e-307,2.2704438987210207e-307,6.19041673971239e-308,4.013053338503002e-308,2.279235921397597e-308,4.1707549989510413e-308
1.0,8.57646036762908e-307,1.2637409467199094e-307,1.1363457610261113e-307,1.483360551693276e-307,2.943367021176303e-308,4.658593275057298e-308,2.703354801211117e-308
1.0,8.167709554470921e-307,1.2644028126288052e-307,1.1396328661666407e-307,1.4639944766236152e-307,2.971290533271668e-308,4.735788123372848e-308,2.711192941745522e-308
0.6259475114954278,0.22707145748630647,0.03780917875071773,0.03479968610541042,0.04186567248100496,0.009344667952328991,0.014835901072339197,0.008325924656464373
1.0,9.377445207201578e-307,1.2484348016312214e-307,1.146471435265456e-307,1.4215579249446362e-307,2.9084592250831407e-308,4.482365908558339e-308,2.7346736788792264e-308
1.0,8.72671865747696e-307,1.2511143052726918e-307,1.1441952151917543e-307,1.422640647862541e-307,2.919149979839467e-308,4.552851019779703e-308,2.7283510196919713e-308
0.6110776349600163,0.11665912414860372,0.02903095809791524,0.024487721418996883,0.03749258928933777,0.00884618280523851,0.017555173294749444,0.005838501298800491
0.38653955722540445,0.07436463076514287,0.0176592470761876,0.015235365035330541,0.02333508999057056,0.0054919603803516796,0.01030873889475996,0.003639512119537233
0.7124954173821028,0.17393788480143735,0.029359856092749752,0.026375985620263293,0.0336556540369704,0.0068765232613513675,0.011034456302090418,0.006264222503034528
0.28355880557686336,0.053288119744975895,0.014751394828942745,0.012156747865961362,0.01687063553562687,0.004083582011515837,0.008664687806678006,0.002885318245890996
1.0,8.770096901039076e-307,1.2682815530761135e-307,1.1442836001298876e-307,1.4825939474094274e-307,2.9425698802980436e-308,4.607462000048901e-308,2.719653751935232e-308
0.3028339888333389,0.21393473645372124,0.023597979475186107,0.021710744430940017,0.03041815148343773,0.0062623804084243435,0.007333405072453088,0.0050700610922328046
0.1295616972930166,0.033308156460826514,0.007592272599457982,0.007797513393549534,0.009267652938370253,0.0025091000972861225,0.002863137293979211,0.001813880794137954
1.0,8.661861619408975e-307,1.264451274464341e-307,1.14643534013924e-307,1.4606777291252507e-307,2.940363905205805e-308,4.598918960030024e-308,2.7268436219440136e-308
0.23892196713380104,0.05073126997248091,0.019743652781477813,0.019548207738025507,0.015604279217574884,0.005384553098346834,0.0065708509588114986,0.00438657681675091
0.3315433605964775,0.17269787898763778,0.019358733889085423,0.017484783733110017,0.02874429452222555,0.005098471996572294,0.006891104460471936,0.004130534021342115
1.0,9.22391474429978e-307,1.2546736232052691e-307,1.1457809395232083e-307,1.4459087020306377e-307,2.9194794526514044e-308,4.52477725420012e-308,2.730626804652606e-308
0.6138707076901242,0.06401081676970341,0.03105953482942978,0.02844173725863303,0.023555367945002088,0.008847166270500278,0.009878595752275407,0.006240563095316738
1.0,9.090665558391983e-307,1.2770314119954458e-307,1.1583459360410509e-307,1.4734988731591227e-307,2.964842563295587e-308,4.564989352256161e-308,2.746551081177879e-308
0.6469453048791658,0.23883372831761512,0.025926830261396402,0.023843326618718668,0.03162768251112126,0.006295807128043126,0.009112662424220255,0.005654963015503053
1.0,9.77928615966281e-307,1.246756709828206e-307,1.1423321908172478e-307,1.4341632907164639e-307,2.8831147081464026e-308,4.4247712022323073e-308,2.725668218080601e-308
1.0,9.027436563459427e-307,1.2605691160736892e-307,1.1508255234600645e-307,1.4438466920880088e-307,2.929143802899049e-308,4.530192839614785e-308,2.738755127393504e-308
0.6851816854064832,0.1345052631995445,0.02754676105215928,0.026123297255510127,0.031920179381678654,0.00820448459820342,0.010708166392933169,0.006092408393888399
0.259477063984835,0.3704755241336182,0.024682272953190146,0.021567503289486815,0.033902763664924354,0.005454566698671585,0.007758809268107001,0.005138789650164183
1.0,8.523173687199764e-307,1.2663101171657002e-307,1.164707582631816e-307,1.4124134974579882e-307,2.960070242507157e-308,4.555070031817134e-308,2.7678948962864727e-308
1.0,6.088046799168683e-307,1.3691760135488254e-307,1.3041667549955596e-307,1.5425008910395738e-307,4.195436780678133e-308,5.380067014953532e-308,3.0308000838107674e-308
1.0,7.745624276200028e-307,1.2689754241743885e-307,1.16466505129352e-307,1.3965567122837356e-307,2.9991710520178937e-308,4.6875091438167e-308,2.7664691068581503e-308
0.3265719874937805,0.06292731975510452,0.026380834734298426,0.027574266171255826,0.02019538589408641,0.0076147995433408595,0.008398907062414022,0.006119083346940047
0.1104381062639902,0.05255210625142828,0.007089760327735721,0.006985007684018009,0.009953512982996538,0.002205465190688229,0.002416145107790055,0.0016389823631683758
0.20817422956845574,0.047214141819783194,0.01105601649559201,0.010850333241017654,0.013012452365280827,0.0035338900774488894,0.004268044478865979,0.002517559227114674
0.42253415925429455,0.04831036752526677,0.030851582264079906,0.04121836759248571,0.01704111054274584,0.010930533497509906,0.005990220842826833,0.008135931046635764
0.4847769190500177,0.06593508265786105,0.04340971558254014,0.05905367305381526,0.02283471800861266,0.014734565720130604,0.008180663079011045,0.011615445868200652
0.6382619416760218,0.2147875504007868,0.037712046543886386,0.034544703557231264,0.04199835921274929,0.009315469085591863,0.015105747448307056,0.00827418207542556
0.6410411880699278,0.21663676392129938,0.036494283685146116,0.03345262300233226,0.041169345154483256,0.008891887701666315,0.014295667923120472,0.008018240542024541
0.6367097454248863,0.21725510415054244,0.037571050055680746,0.03467968494672809,0.04130699116064916,0.009310960967211877,0.01486584180493506,0.008300621489366363
1.0,8.089828094824516e-307,1.2812248143642117e-307,1.1655798100868697e-307,1.4423274469857804e-307,2.98410784875271e-308,4.627896665251817e-308,2.762206581492452e-308
0.23330468635597484,0.05845082106541166,0.01903693709350144,0.018101947212308553,0.016241022509784056,0.004919589780351163,0.006705718881694761,0.004130634818242921
0.33034180944422514,0.14029731808960688,0.01732881562929442,0.016897132766106965,0.023539819327179183,0.004993053900521408,0.006347843302687801,0.004010563300635795
