Topic,last_iteration,estimated_pi
1_Economic Cooperation,1,0.03929749908272877
2_Belt and Road Initiative (BRI),2,0.03219192127024653
3_Diplomatic Relations,3,0.046007469754662945
4_Technology and Innovation,4,0.006767224726090053
5_Cultural Exchange,5,0.0418956956461966
6_Geopolitical Strategy,6,0.039400156207875243
7_Trade Agreements,7,0.007254743397426522
8_Infrastructure Development,8,0.020152960952405565
