Iteration,Measures,value
750,Perplexity,1494.8188769632739
760,Perplexity,1489.9697569654325
770,Perplexity,1489.1154187285124
780,Perplexity,1490.1769363451192
790,Perplexity,1489.3203521109
800,Perplexity,1484.1160149059106
810,Perplexity,1482.1629831754249
820,Perplexity,1482.017819979762
830,Perplexity,1477.3947506404193
840,Perplexity,1475.3581677703785
850,Perplexity,1474.3346153658595
860,Perplexity,1476.659567315802
870,Perplexity,1470.6752007611992
880,Perplexity,1467.4373021218491
890,Perplexity,1467.592283101783
900,Perplexity,1469.9017137272426
910,Perplexity,1462.811157075274
920,Perplexity,1465.1418765528758
930,Perplexity,1463.5667887069544
940,Perplexity,1465.5426483255978
950,Perplexity,1463.9601736819468
960,Perplexity,1463.1635370124848
970,Perplexity,1463.4526807153595
980,Perplexity,1462.9392884976426
990,Perplexity,1461.950463199726
1000,Perplexity,1459.257951113849
